Date,Affected pages
2025-09-05,71
2025-09-06,71
2025-09-07,71
2025-09-08,71
2025-09-09,74
2025-09-10,74
2025-09-11,74
2025-09-12,74
2025-09-13,74
2025-09-14,74
2025-09-15,74
2025-09-16,74
2025-09-17,74
2025-09-18,74
2025-09-19,74
2025-09-20,74
2025-09-21,74
2025-09-22,74
2025-09-23,83
2025-09-24,83
2025-09-25,83
2025-09-26,83
2025-09-27,90
2025-09-28,90
2025-09-29,90
2025-09-30,92
2025-10-01,92
2025-10-02,92
2025-10-03,92
2025-10-04,95
2025-10-05,95
2025-10-06,95
2025-10-07,97
2025-10-08,97
2025-10-09,97
2025-10-10,97
2025-10-11,97
2025-10-12,97
2025-10-13,97
2025-10-14,97
2025-10-15,97
2025-10-16,97
2025-10-17,97
2025-10-18,97
2025-10-19,97
2025-10-20,97
2025-10-21,98
2025-10-22,98
2025-10-23,98
2025-10-24,98
2025-10-25,98
2025-10-26,98
2025-10-27,98
2025-10-28,98
2025-10-29,98
2025-10-30,98
2025-10-31,98
2025-11-01,98
2025-11-02,98
2025-11-03,98
2025-11-04,100
2025-11-05,100
2025-11-06,100
2025-11-07,100
2025-11-08,104
2025-11-09,104
2025-11-10,104
2025-11-11,104
2025-11-12,104
2025-11-13,104
2025-11-14,104
2025-11-15,104
2025-11-16,104
2025-11-17,104
2025-11-18,104
2025-11-19,104
2025-11-20,104
2025-11-21,104
