Date,Affected pages
2025-09-05,410
2025-09-06,408
2025-09-07,408
2025-09-08,408
2025-09-09,408
2025-09-10,408
2025-09-11,408
2025-09-12,408
2025-09-13,415
2025-09-14,415
2025-09-15,415
2025-09-16,430
2025-09-17,430
2025-09-18,430
2025-09-19,430
2025-09-20,440
2025-09-21,440
2025-09-22,440
2025-09-23,456
2025-09-24,456
2025-09-25,456
2025-09-26,456
2025-09-27,463
2025-09-28,463
2025-09-29,463
2025-09-30,477
2025-10-01,477
2025-10-02,477
2025-10-03,477
2025-10-04,490
2025-10-05,490
2025-10-06,490
2025-10-07,498
2025-10-08,498
2025-10-09,498
2025-10-10,498
2025-10-11,503
2025-10-12,503
2025-10-13,503
2025-10-14,505
2025-10-15,505
2025-10-16,505
2025-10-17,505
2025-10-18,509
2025-10-19,509
2025-10-20,509
2025-10-21,521
2025-10-22,521
2025-10-23,521
2025-10-24,521
2025-10-25,526
2025-10-26,526
2025-10-27,526
2025-10-28,528
2025-10-29,528
2025-10-30,528
2025-10-31,528
2025-11-01,530
2025-11-02,530
2025-11-03,530
2025-11-04,533
2025-11-05,533
2025-11-06,533
2025-11-07,533
2025-11-08,533
2025-11-09,533
2025-11-10,533
2025-11-11,540
2025-11-12,540
2025-11-13,540
2025-11-14,540
2025-11-15,541
2025-11-16,541
2025-11-17,541
2025-11-18,542
2025-11-19,542
2025-11-20,542
2025-11-21,542
